"QID7_Id","ResponseId","PROLIFIC_PID","scores","raterNr","finalRank","value","Giver_Id","Condition"
"F_10oejnEV2ERi5HX","R_bIOZBhPypkYx9IZ","5fde6c73ad8fba6069f139ed",161,41,4,7,"6140adcab5864590ec9a9c79","Likable"
"F_10YiUUKrh7JgI30","R_3KBnO99gxMNfrK1","59d662aa0c0c7100015b9af6",240,41,6,6,"633872ba6dfc63a1faf7112d","Accurate"
"F_12awRKxduNjMyEk","R_2Y3b2XhaI9vNwkA","5f4beb12d01b150d4fe1d9f3",307,41,7,5,"60fd85c4c161e02f562b543a","Accurate"
"F_12JV7zcZsUeAkNI","R_217Jfr4WfMw9XZm","5ee142b292607215593aa9af",228,29,8,7,"5ba19bdfa896050001d51f18","Accurate"
"F_12rLDBLowOuKG2d","R_3fHmTEk2DRHXCp5","5e9de42d6af8f2148b67cbb6",159,29,5,7,"5ffd2c0699c3912436845113","Accurate"
"F_12s9TGUgS0qHAq7","R_1FPrtcoSMrdnxtD","6400fb97cf630a6c6502ae6c",178,41,4,6,"558ffe16fdf99b3f7aada34d","Likable"
"F_1CD74E5ONr28NNw","R_RmkJv5n9hYv0t3z","5ed17f22e1dc340c98fd6bc7",274,41,7,7,"5fc5a2371b535212264944ca","Accurate"
"F_1CecDFT0KKP76GX","R_3R2c46UQAeopIAh","63ed00d9a442d349cd6b2a4e",162,41,4,6,"60284b049e884437b220b172","Likable"
"F_1dFasm2Tcbncr9Y","R_2Ysqp4M75n8agUS","5ffb8c5b60571908f3ac19fa",191,24,8,5,"6134e3d48d0eaa5c8fe8c25e","Likable"
"F_1dh5rEyzeewfHUq","R_1RZLz24ssFZFwn7","60bc18bb8b971280ef13060c",243,38,6,7,"55b9a9b0fdf99b6906d2aba4","Accurate"
"F_1ezR34bv5nNEhLY","R_exnBxfVCmUqBkC5","5fadeb340e10471fdeb5fbf5",162,24,7,3,"636eef4c2fa8b09cc41bba0e","Likable"
"F_1FnbFkmOxfv1Znv","R_cuSW22QnIqmO4CJ","64488a23553ba5078eb6cb9e",164,29,6,7,"5a7d01a4b093f80001a79252","Likable"
"F_1ghdLASNWhsSnP5","R_1jpsTrT9ImO4nnC","63e52478ebc8e17c77aacaa9",107,24,4,7,"58d552e09dbe3f00012591f2","Accurate"
"F_1gpywMhp6rK6IUY","R_plu254ukf4eifQt","59e7477e3e4b5a00016aa4d2",160,24,7,7,"5d88f010859c9e0001810e88","Accurate"
"F_1hGB5DuTOaOCGsE","R_33vcKcbCUyrHmug","6151c93f62e26ed6871a5fbd",98,24,4,7,"55cb5f66fdf99b2da2a053af","Accurate"
"F_1hJZqTl8MA7HPUq","R_eWCBjN05nINiEYp","5bd8a00a96b35e0001679819",143,26,6,5,"6401487a8b40ee3232782990","Likable"
"F_1ikThkbbMIMMH0I","R_3NHVdmUpnQA23TY","5f7adf44d2ddfa74d5019c3d",176,26,7,5,"58d3dad59dbe3f0001258f66","Likable"
"F_1IMfBA6RxONJjkS","R_2Cd1g3fhZvtR4RM","5fee4a12069e3b0c91f2531f",226,41,6,5,"5cc78069714158000168f17f","Accurate"
"F_1IygysIWEzMiCyp","R_3HOGylnnsISTww5","612d5aec388ae7382c6d9d59",197,29,7,6,"644fbef8b6f538ee922362d0","Likable"
"F_1k0T4yHXh6oltUO","R_6L4S35nsxt0SYYp","642b13588b14d970fd232575",160,26,6,3,"5e3b8f110d41ad3a7bc35019","Likable"
"F_1K1t4tjbmrfAK47","R_1Gvwfj0tmD4OmrX","5a286558564bdf00016463fc",231,41,6,3,"56d89fc04a9be10005541745","Likable"
"F_1KlmPWco7yo9h1L","R_1dhGO2g9ltGTeFG","5a65daf2c0d836000107d1ba",188,29,6,1,"5a9c44d2f05361000172055b","Likable"
"F_1l45HlWyABVMmUO","R_3JrUK4FqxZZF8St","6438744a83a13dc8eb1ef506",320,38,8,6,"59014a56baa70f0001ea4c3b","Accurate"
"F_1NaaAojAuyPxT8k","R_4JeW4q3KKQZk2lP","614e2446523bb49af662fb62",107,24,4,9,"6155609ae4758d33409c8db2","Likable"
"F_1o0Y2nbMjXZ1Jls","R_2sRtPgkk38RU6h4","616c4a95398b06c2c85b32ed",121,26,5,7,"5e65061173afb2277765b53b","Likable"
"F_1okjeLNnnE0ptZi","R_3fTsjXdAhBJlbkg","60c22f34978b2e9f7b33a186",68,26,3,7,"643b08f018a63ef0b7512212","Accurate"
"F_1pMyxId534OOBIU","R_2zc3TqkvzsBzZHr","5ac5207ee1546900019c0279",131,38,3,7,"644f8d16ccd1e37f4b73e086","Accurate"
"F_1QbwEf4Nbyt0CrA","R_8qyhId4GgAMaInf","5ea59a7f050d8e584db8fc9f",183,24,8,1,"5dd1dc9110420023be388e5d","Accurate"
"F_1rcuPXlQG7SB8fx","R_2SpF6AklEqykJmc","5ec00f62cf12be40ea6fe344",285,38,8,4,"6433c0a0d4f699c45c47981d","Likable"
"F_216tuE7djcP5pdf","R_2Tt00X4K6Ce2Dkz","59cf062758b71700019882d4",249,38,7,3,"588caba9ca4f6700019cfafc","Likable"
"F_21FycR1TezOTMM1","R_2sc0qTES7czTgMb","63d148b2255821a940922c1a",225,26,9,7,"63c98f9e028e25cc7105548c","Accurate"
"F_22PRBS7sAKesi1e","R_3sj3LEw5BVFGqaE","5ff8b291840bed124061d389",279,38,7,7,"57d70b2247180e0001f100e3","Accurate"
"F_24P3Bk4Nz9Nk3OZ","R_2R2fs1nKKdH3upw","6290ebb13a126c60c9cb7d11",185,26,7,8,"64123e577ccc2422448a155a","Accurate"
"F_25EoTM2h4cFmj5U","R_3ReHJy95j3DILp1","611e6704567a73202f78bef7",166,26,6,7,"6172beb0f3eecef16ddfb111","Accurate"
"F_25sXyX3UPSCmm26","R_3fxbSxTmEgQXVUh","62fd17440d5147b43183b0aa",140,32,4,7,"59c843b646f72100019067ce","Accurate"
"F_2A0XS21S1xFDhcf","R_Xzdzpu6M8Jjtcnn","5cb882d33f0af9000159e00f",276,38,7,6,"5b5a51302b05780001a8ae0b","Likable"
"F_2bIBgJo4SNw0OGt","R_Wflhdd8cXvrH5xT","6031ceae5e466a1647a29da7",107,27,4,5,"6342e1dec81e1cd2dbf925c7","Likable"
"F_2bNMbNUHwOsjSfQ","R_xhdiNENBoOE4wXn","5c663cd56fdc87000162e255",216,27,8,8,"6229ee11f6b5405956544966","Likable"
"F_2bObhWVEeUX95rB","R_2aqPrgjZipzZ2mv","623a732198d2a11b21faccc9",147,32,5,6,"58380cb9f1faf8000129673a","Likable"
"F_2cqQJAkDBvFa7xu","R_1LopF1LyqhWcFmI","5f56b56b0fa1b412025708cf",202,32,6,6,"5bc8897f462bdb0001a61426","Likable"
"F_2D79Z7IMYok2EJL","R_21Fy274TNe10x8e","61082fa8eef802b086a5c248",140,38,4,4,"63d3f987619fb984bbfd9693","Likable"
"F_2dG79BQ86EYC6xy","R_5bWQDI071NkqPQd","643c8b9e084ad254bf9a0645",209,27,8,6,"5c58d56d53fba80001bd70c0","Accurate"
"F_2DOIr8Hxz10zA5n","R_29prNqa4CpfMxzv","612d20ea1043719545f90f62",226,32,7,7,"5a6d4c08e6cc4a0001b6c4f6","Likable"
"F_2EbqxUIxsoZh86t","R_21mp2IdngVWDUzl","5d1ad6202ba4ad0001d623be",96,38,3,5,"5c55b95b91c0ad0001cf86ab","Likable"
"F_2ePD2jGJu5LQOIU","R_0iDo3VSb6AUQWKl","5f179bd584e8e802ef9c187d",154,27,6,5,"5f5d967f60d7fa5fdca4cc4f","Likable"
"F_2fkbeyEnBnr5OvX","R_1ezVZnGjhoS8t9x","5d94d2ab9ac1cb001775fac2",158,32,5,7,"5786d6076475d400015a959e","Accurate"
"F_2flbSZ3386sePEL","R_2P4FiaJAzZ0UcHJ","5dee8ee31255595293a9906b",112,27,4,5,"6329bd3e699f53922a5da47c","Likable"
"F_2fy2vQzo7RiLI29","R_7PMnZkkMJAFUQcV","637656f618065b68614915b0",215,27,8,7,"61fa93435719bc09cb834c4f","Likable"
"F_2OSH6c5r5dEQ8bH","R_6ePy2E7wUk0KMff","5fc8783438ffaa20a88e270e",262,38,7,3,"5e3b0c66658b4d3186ee9c7a","Accurate"
"F_2OUPUqsP5PYUw8t","R_28IGMTF32o7roXe","5a69629c35f26b0001499826",159,32,5,7,"640263551c578599ce18288e","Likable"
"F_2P8dAbbylEFAIIv","R_3gNR4P6ZCUQkKNP","63f4021039d138e8425201c7",337,38,9,6,"62dc62a4a898b6caf66c299d","Accurate"
"F_2pVo0aEud3wtOS8","R_25u2TF1RJr0a0H8","6109e6596c52fa1f853b16c2",237,32,7,7,"607ec28e6a0bde56a9d69ddc","Accurate"
"F_2qat8eEGitOzdNk","R_20Yje4dFptAQrDl","6404f184dffe93798dca0f5f",239,32,7,5,"641464c47fb7ec8bdcc3f934","Likable"
"F_2QxnIdBoovHjjYQ","R_3R4bblKWJJqP05U","612e91f6654fd2227289c863",124,32,4,6,"63e103ceb37c96527b5b0718","Accurate"
"F_2sbByozzEoFAlYg","R_eF3tjc7x3qqUSQN","5723d6abccc7cc00086bb0d2",141,28,5,7,"62edced11d9948c019253ff6","Accurate"
"F_2SJHPgJExaZV9dD","R_W1CZpof7MVacv5L","6307a5e6e8a35c5eaeddb421",255,38,7,6,"5d2a3561d3edf900018016a1","Likable"
"F_2TIfZib7lh6SlEK","R_1dtydDNVbxnEoui","5dd5fdd811b0bd5ac65a9b3a",299,38,8,7,"5dcefcd0307b8d05031d7264","Likable"
"F_2tm9Iv45wzDeg7l","R_2ZOaXkMQLLQzcz9","63d418d4229ed6c0712ce5bb",170,27,6,6,"5c049e9bad9a9700011b877b","Accurate"
"F_2TvB6UWTDe0NVy6","R_33iZRIEERJz40LS","6430c599f0887cb443f8da9a",92,32,3,7,"5a0af6457ecfc50001be11da","Accurate"
"F_2ty4iYYcHhxBDCO","R_2TAzWKtAKX1X70C","60dccc040c30eb41bf18769e",99,28,4,7,"5be8dab5d153f500019ab320","Accurate"
"F_2U4yLeE4ig5Tlm4","R_2Yx2UNVNkEgqMH2","610059721070d369a4672eb0",130,38,3,1,"64340613165f6c9099fefdd0","Accurate"
"F_2V2ckr3pz3KUvAJ","R_12G2WnAuvhXTo99","62c4dbae8fb1ff9cd93a3150",177,32,6,3,"5df4ed2eae7b303760a9d47c","Likable"
"F_2VlvJu7bcKL3C8U","R_25ygPKWHrmi6bqK","62728d9afbb36631896f3bcb",216,32,7,7,"5ea96c3da01cad04cfea50b6","Likable"
"F_2WINUPBCKOdHz6J","R_334o3Au87ujfXCd","5ee264fd75927e71d7a6bd5c",207,32,6,4,"5f934f7fdc89a111b5712011","Likable"
"F_2WP5vO5hQ8fqX32","R_21t7iIvnUEwv48r","5a6f60e4efd3a7000120f057",250,32,8,4,"62349f9ac56251496a619264","Likable"
"F_2X0AtHS0T9w4W6p","R_2qh3vtCvPYXa80o","5e13e0232d2185a20d9c3b4f",244,32,8,6,"63f7ac13d942e94c18c92d4b","Accurate"
"F_2y0ZAHSnXimOSw1","R_TnKc9kmMVhjRzCp","5c02c3b20eb9aa00010dc4cc",136,27,5,3,"606e3ddf19540080228e3a0c","Likable"
"F_2zAMGyWpLKzIKIZ","R_1EWDZ4GuHtRIyfT","5e8b89d0afcb1606e761ef7f",77,27,3,5,"56b8de29e1d0a200051517f8","Likable"
"F_2zNmLuwPqX4SYJF","R_1M6U7ReMCHfmK9X","6111af1630b35a24a8476060",145,28,5,7,"5c4724e19afd7b000196ec24","Accurate"
"F_2zUPd9YuIKJ6mHG","R_1qUvJk1n5txpxHj","62d59a066ee263bb659aa445",158,28,6,3,"62a73647a057bfcf74a8d20a","Likable"
"F_30db916mTyjk39D","R_308YGfyvS4ZSTnW","644150e6b846265e5d1c1d00",108,28,4,6,"6234dbba467fabd56fa59e1a","Likable"
"F_31vFp1Dx1utyFVT","R_2zNlzxo4QTa88I0","643f1d3c24bc4a2d8e44a0ff",189,28,7,5,"5589be79fdf99b18be320155","Likable"
"F_32UQWIzcYNUchmQ","R_bl2tXKHI2f2xmed","570d891d42a1db000fc65b4d",107,28,4,4,"6341a541b6cfd5f8933f48c4","Accurate"
"F_3CNjf3SLA9bSheU","R_2Xhw2xllXc1llLn","5f0e50c3a8d93519188a7525",174,27,6,1,"59b0106d834a170001d6061c","Likable"
"F_3D2qhuNcusWIpF0","R_3kdCrzXp4GJMKTh","5ede3d2ef7c9f9068776c4d2",165,27,6,6,"6127017baee75f10aa174139","Likable"
"F_3EiETVaiV7uiVLw","R_w0Jb388w9LcHVIJ","565bff58c121fe0005fc390d",173,25,7,5,"6409f226765c80e737f20aca","Likable"
"F_3ESxU6eaq94BEod","R_1HpHmbNd8oLEFPX","610184b85f6357139bc4c9eb",157,25,6,8,"5cda0f40fbe78a00192192a3","Likable"
"F_3ESy6vi6DegIdJX","R_Rl6k6G3WXUYKiK5","558823c2fdf99b318cb4224b",199,27,7,5,"63ecf8c3796bf9efcf715050","Likable"
"F_3ey3IwDsQAfRZnr","R_2PimSEDKp78dbyK","5e7227c4e9253c1509f76f96",183,24,8,5,"643edca8dcd599c6fba5e31b","Accurate"
"F_3fjBNr5YrkSrSP3","R_1Lp9i2r13E9mDEK","63fcb1bc5430196e4e652913",148,24,6,7,"5ef6601481666334a551ebe7","Accurate"
"F_3FLJxK0EXQwispy","R_D6RecHHbTKbwpAR","628bb31571a8935ee2dbd6f9",207,27,8,7,"63dd426e29d6cd9a09fdc774","Accurate"
"F_3FLPTD3bNguBklU","R_6sTyuLmgecp233X","5d3522b6eac3d50017df02cb",126,27,5,7,"60cbb3a438a8a5ef8d42ee21","Accurate"
"F_3G0xHm2ntQIYLtA","R_2zhZpJTpHVkZvhc","61087e4fc006ee7d6be38641",127,27,5,7,"5720a9f6fd3a5200113c1891","Accurate"
"F_3Gdr9o0jIvHrGWs","R_3jVYE1fNxAivlE5","57509b61d6edf00006ff7fcb",193,25,8,7,"5bf55a643a426e00019e3990","Likable"
"F_3HudzLjXZAzWqJw","R_a9IeCUPECXNxMiZ","62d86c63e2966588c71b9ff2",138,27,5,7,"5eeba783164680119f2e30c7","Accurate"
"F_3iL4KwJpeNyIPJ6","R_3GkXwjAkFf7zyvi","62825aef9d9d5544867a6fc0",108,30,4,1,"5d6349209b22da000117b1bd","Accurate"
"F_3iR6nmcIs3N6lbZ","R_2yr7hoQOkEWMbUx","6288fcde51a372bff1785173",169,24,7,1,"5fdd6ae284b3a9449c87a064","Accurate"
"F_3J2WiCj4IjCRx9J","R_23eNEOxfEF6X8Rn","5f7dd6ed4303f7000814dd3b",196,25,8,7,"5e8519a0da382910980598ad","Likable"
"F_3JlAQMDyJYDbkEt","R_1ibql4idSgVawJS","5eb29a3db97d6b0008d24a1a",138,27,5,7,"642eb72016d0cb14c764dfc6","Likable"
"F_3kNgtYslBd4bD8U","R_3jSubvXq2YNVqQW","63ff612a5b78c13aa28fa88c",184,28,7,7,"62e31131dd8b248409c9fcb3","Likable"
"F_3KNKMtFOl6K5kTQ","R_bpwWnpADOWdggtH","60ddf4b3e6b47e907bd5e6b9",176,24,7,4,"603470186bba1c26a354c27e","Accurate"
"F_3koEac1UPBj367k","R_2bPFzA6vKEv2k2w","60712d937752fb8780e89951",124,28,4,7,"63f7837e2f09cd534ebfd193","Likable"
"F_3ksP8jpBDlWChAi","R_1LFOh2Wp5pONFW5","558955ebfdf99b6bd06016c9",154,28,6,5,"606b6705399a272af8238dad","Accurate"
"F_3luxiABX8flWKck","R_2pWFHqOIA1PiA12","63bbc8ba5520732c211a6ae8",194,30,6,6,"5fb7dd473afbb1033b491811","Accurate"
"F_3lWvSdQYyrXM0Rq","R_78wBZrWLh6opH8J","616cf9ae07c1c6bd05d95beb",237,28,8,7,"5de5538f8fde1c4dbc951498","Accurate"
"F_3lxitubjKJvf8Yz","R_3G8uzp9N173NYsV","604d4631e3f4a7fdf6050653",99,30,3,3,"5dd311bde25acf3254f36c9c","Likable"
"F_3mledP9WHL1nk2Y","R_3iQnVWUib6HFXU1","5df441f8dc853530e500adc1",104,28,4,5,"6127072ecbce58c5df452c58","Likable"
"F_3n9mtYUejGwTCKm","R_10N3IFywUEpUYlv","5dc6e8472865554f0289bb6d",150,30,5,5,"5da497568034e40011366267","Likable"
"F_3nd3SeNdJ4L8Bt8","R_3EXOgjyKaK23Moh","574450f63fdc69000e09555d",217,30,7,7,"61018fd6e1c6509680d873d5","Accurate"
"F_3OdjcZTwp85swwu","R_12bS0CBAYsLxta0","5f1dc8e9a351ad07a95854c1",100,24,4,7,"63f7819f0214fe30ea7a84e9","Accurate"
"F_3P7QMxuPXNg4nVd","R_3Hqus5adNA7Tmls","558afa29fdf99b7dfdbac1c6",97,24,4,7,"5f46b13c9603e305ad51dc7f","Accurate"
"F_3PBrMZWg2ledS6E","R_2qlLlcg13LpEqL8","63eac3865d8972f41d8d46c5",101,24,4,6,"5ee017103409e1371735c44d","Accurate"
"F_3psWDYGyjG2QLgE","R_2SvLWOa9haPQnCA","5dc483cf74939e34e55c3619",175,28,6,8,"60fcfa5419a91d3e0f65c016","Likable"
"F_3q8ndAoNJ0R4Wbo","R_2R7YANm4gSN0M72","5e3c79de24984505f37d3903",229,30,8,7,"642bde38136ae4c27fc846e4","Accurate"
"F_3QK7h1gq6NJYf86","R_2ZDncgyFTIjQmiq","5f85b1e8b33c650518e25d22",185,25,7,7,"644e8d023ff43328efac53e1","Accurate"
"F_3qwohznQZAj3hNZ","R_WqW2Vgq1dDhG5Z7","63d15987e86a66f05d482526",190,28,7,7,"60ff145f0dde69cb92e7c6e5","Likable"
"F_3R8Dr7UXmFs86vA","R_3QK7jACyGfM4faV","5bd8e057beca730001cf1bf5",169,25,7,7,"5acb7b0ae1099600016acdd6","Accurate"
"F_3Rg2AjlBD9J7Epr","R_306N5lU7xY07tCR","5de2d535db424d313cb383f8",202,25,8,3,"5c239f96da51990001e21d97","Likable"
"F_3rNwdLykFI43rWW","R_1gGQfWbO6kEMBfP","5f4d2345633ed299896c6983",221,30,7,5,"644e757b60476ac7d5a7717a","Likable"
"F_3RxRlY3iivY4cYe","R_9nstCJHSq84hNDj","643cad41791d0efb8596d529",164,24,7,5,"60f942bbd779c8d0f7cc3a99","Accurate"
"F_5q1WcRlH1P2gLIt","R_XmP6aQp5MA1WY1j","5ffa4ec324c6e04131793275",174,28,6,4,"60ffd9006d901f9d0ff35f48","Likable"
"F_6mRsw6XyeMbrRuh","R_2PpA7lHGRATV9A4","5dd42e7f35cf744223c60d1b",233,34,7,1,"55d0945934e9060005e57258","Likable"
"F_6n8yU5rvBdx8mWJ","R_1rqs8gk4Sl3bicd","60f998b6c4b98974b766eb98",101,34,3,5,"60bae671bf92bf34f7a774ce","Accurate"
"F_9BQ4IXgnLqB3oRj","R_3erSeXBAb4Fazy0","5a282206b279aa0001b0e002",96,26,4,5,"5be1ac50ca095c0001b9f717","Accurate"
"F_9Ks7ILke9fUQs7v","R_1IcSNA2Gnn0mYXo","60dfdb8bbef17b6739d12215",205,26,8,7,"62f557535db76f7f4ab860c7","Accurate"
"F_9slh31DfkNT7Oh3","R_1pPZov2UHdRCGB7","63e589c58e069e904b031beb",165,34,5,7,"63d14cdff20c948a36b4ac94","Likable"
"F_AATGqTnExreKRi1","R_2Cm5dtJVw7IqQSC","6109a6e65fed731dcaecb1f1",93,26,4,7,"63f793ffba7e890a6efd936e","Accurate"
"F_afNSDvm1suyI1kB","R_OCepKgbcLHX2HAt","62e7357284e65421d8f8b10f",179,25,7,7,"5c1b97f889f0350001726def","Likable"
"F_AjkW0hNtl913rz3","R_8jpdnbOX4zH6jaF","605220735560745cf0a16a80",150,26,6,6,"5f7b8d1186b828165dae8e5f","Accurate"
"F_aWOW8dtf77NGDUR","R_AtlczUWY4FG6hNf","5deaac8dff7f711d9032fa94",145,31,5,1,"568c67547374ad000cc7448c","Likable"
"F_bDflVSCwQ5T32YV","R_3QRuS8V6Z4hhLKw","5aeb6714eb6e780001b1897c",155,31,5,6,"63213cae8cfeef4aa57d329f","Likable"
"F_BDFXHQ0dXTUXbq1","R_3Ra3QHJ6aYsoXxA","59d0ec2446447f00011f0254",165,26,6,5,"636259854da454099f895513","Accurate"
"F_bdz8kxPKvIwQFtT","R_ZrcTD9u7omxOnwB","63ff478aec95d54674669329",148,25,6,5,"5f7e235793c5e10cba3bbb4d","Likable"
"F_BET7hov8aDkiZOx","R_3fVjNGqspdnM5gT","63bf3247bf3b5ebd734157ee",166,26,6,5,"5c7af0dc9782c300011cd107","Likable"
"F_C2DFx7l8HSIdpMB","R_2QhtyhlhiqQPeN4","6447c9597966a6141ba70686",214,34,6,9,"5b0b3ef830d562000155366f","Accurate"
"F_cu6ncOGl0003Vdf","R_24HuQ1EFV9nkNHd","5f65597823696e0e9bd8f63a",167,31,5,3,"5ed5d28a7981f617185819ff","Likable"
"F_DcawXnxN2Pu1s6B","R_DUjbfMUKspqn8Q1","600735ac42969f1dbea8a16f",214,34,6,7,"5f39eb3c94f71318adf97910","Likable"
"F_djxWmICEq9IbIgF","R_XilxtJv54hRdrZ7","63921f485b7f7955d18ce694",209,31,7,7,"5cbfd2c776a6810001fd29b2","Accurate"
"F_eeTctm8tZFFu6FX","R_3jYtNYZjM2g3qT3","610decef66e40420979d76ef",135,23,6,5,"60fdf439667428ddf589f80f","Likable"
"F_eOPbcWdbr6f9o89","R_3m1YFtPzNyVGlPb","5fd7f08920e71c0f734ee097",178,23,8,7,"5b5c3b266b25590001778ea1","Likable"
"F_p6GtSWtu4Pa3JDP","R_3oLstxf9jmzYG69","5c479e4cdeaef300017e5c9c",103,25,4,7,"5f2f5cd4a0330f34f7f5f2fe","Likable"
"F_Qb9ajJaV29FlfHj","R_2QPuWDTao5bYUOs","6294c9a9c673efce2f6528dc",257,34,8,7,"5bddc463712eb800010d2e4d","Accurate"
"F_rdKZweMde9RAQzD","R_1Lv5OVANLgpxlI0","628690801339eca9c44143cd",138,23,6,5,"5dd3269b7df219338fb2d3c4","Likable"
"F_RdYd39PfJo9Hdq9","R_3nGYqkUPf4TzWnp","63d7ec164d40c184be89bf34",140,26,5,7,"603e370c5ed1c2db2c3bde24","Likable"
"F_Rldzxw5991JTtdL","R_3JmElyDm7Nkob2B","63d5e3bf4a739d1158b9ce64",173,31,6,5,"641e665144143d6ffe379ffe","Accurate"
"F_rrquzuXUWb2McPT","R_1Ig5oDvYgsMMS04","63d40e2ebf8618778fa289f9",71,23,3,5,"5eeeb45360a44437a971aebc","Likable"
"F_saRNtG3Voy3wMud","R_1mXEr3SXKsY8NKu","62c63362e7342ad8be294866",188,25,8,4,"641370f5a8d3826956778170","Likable"
"F_SE3qYKxgbtOGDVD","R_6PYj4hvbeU0jHTr","62f106da4e2e51c4742d7c89",228,34,7,7,"608981c1be83df6a5452398e","Likable"
"F_SN1CWjSfGlcIMsV","R_33dsn8NZ8Q2p7d9","62aa265d938c612f7c8361e3",168,34,5,4,"610978200236b59da80571e7","Likable"
"F_spsKbfkPlT3eM8N","R_3jZfmjYU5jvyaGI","63fcf7251ace1792db0941b0",166,23,7,2,"5c5aebc28348b50001fcb0c6","Likable"
"F_UaS1pbP6buG9R5v","R_27HZwFV6LhwrZvq","643b0ec10bfaa4da001974ef",230,31,7,5,"6400de8f305c51d03c2a9a0e","Likable"
"F_UT1tt9RkNiudDXz","R_2S1aAunKT9BCHDU","5c748b9188fdc20017c60436",171,25,7,6,"6115956006a530798ff9eb7b","Accurate"
"F_vAAySSnAcir9QPL","R_2wBjQSyQVw70qrp","636168a962acef1f1f1cc4ce",126,23,5,5,"55f244e632af740012170458","Likable"
"F_vTawvGNAM9DTbYR","R_ZJfdoQhTPZODAml","63e40d7b1a88578e3c993478",113,23,5,6,"644bd5f65278efdaecb4f62f","Accurate"
"F_W8a4AC7Hcq5au7n","R_BWJBhlwn4Q09Zwl","63615bb6922c170dc50b434a",176,31,6,7,"62aa0d284ca4afc50b51e09f","Likable"
"F_XsKLe8K7s6v7XFL","R_d5Sl8g670RqrvP3","5dbc46b70338051eb7999760",266,31,9,6,"55cfefc334e9060012e573c0","Accurate"
"F_Y084SesxxMFrK1j","R_1NEzJcshLTyjRc7","61281adc2801831deef9a86d",98,31,3,5,"6329bcdaeb4bf283a62afad0","Likable"
"F_zev0nx0Xbza9t7z","R_1n1izJYsknRMsF2","5dd286042c5c1028d1725b77",190,23,8,7,"6418fa57a5d4085174100296","Accurate"
"F_ZwPsLkLV22QcdYB","R_32ShrdCG0C6il9p","63ea5fe3c03c77c607e33990",184,25,7,7,"63e688adbc8788de6d596c93","Accurate"
